Biomass,Type,Moisture content (% wb),"Initial avg. particle size, (mm)",In-feed Seive Size (mm),Volatile Matter (%),Ash (%),Energy content (MJ/kg),Grinder type,"Motor size, kW","Screen size, mm",Grinding Rate (Mg/h),Feed rate (g/s),"Sp. Grinding energy, kJ/kg",Final particle size (mm)
Woody biomass,Douglas fir chips ,13.0,10.36,,,,,Hammer mill,14.9,6.35,,7.1,95.0,1.49
Woody biomass,Douglas fir chips ,13.0,10.36,,,,,Hammer mill,14.9,3.18,,3.9,141.0,1.02
Woody biomass,Douglas fir chips ,13.0,10.36,,,,,Hammer mill,14.9,0.79,,2.3,328.0,0.65
Woody biomass,Douglas fir chips ,13.0,10.36,,,,,Knife mill,3.7,6.35,,3.0,153.0,2.66
Woody biomass,Douglas fir chips ,13.0,10.36,,,,,Knife mill,3.7,4.76,,2.3,205.0,1.94
Woody biomass,Douglas fir chips ,13.0,10.36,,,,,Knife mill,3.7,3.18,,1.1,345.0,1.54
Woody biomass,Loblolly pine,11.9,,,86.74,0.31,20.32,Hammer mill,2.24,3.18,,5.2,181.8,0.83
Woody biomass,Loblolly pine,20.0,,,86.74,0.31,20.32,Hammer mill,2.24,3.18,,5.2,215.9,1.33
Woody biomass,Loblolly pine,30.0,,,86.74,0.31,20.32,Hammer mill,2.24,3.18,,5.2,400.26,0.78
Woody biomass,Loblolly pine,40.0,,,86.74,0.31,20.32,Hammer mill,2.24,3.18,,5.2,399.72,0.84
Woody biomass,Loblolly pine,11.9,,,86.74,0.31,20.32,Hammer mill,2.24,6.35,,5.2,59.73,1.66
Woody biomass,Loblolly pine,20.0,,,86.74,0.31,20.32,Hammer mill,2.24,6.35,,5.2,145.84,2.04
Woody biomass,Loblolly pine,30.0,,,86.74,0.31,20.32,Hammer mill,2.24,6.35,,5.2,123.41,1.96
Woody biomass,Loblolly pine,40.0,,,86.74,0.31,20.32,Hammer mill,2.24,6.35,,5.2,326.9,1.58
Woody biomass,Pine chips,12.5,12.1,,,,,Hammer mill,11.0,1.5,,,429.0,0.41
Woody biomass,Pine bark ,12.5,11.63,,,,,Hammer mill,11.0,2.0,,,37.0,
Woody biomass,Pine Chips,11.7,9.71,,,,,Hammer Mill,2.2,25.4,,5.0,5.04,3.59
Woody biomass,Pine Chips,11.7,9.71,,,,,Hammer Mill,2.2,12.7,,5.0,22.68,2.18
Woody biomass,Pine Chips,11.7,9.71,,,,,Hammer Mill,2.2,10.0,,5.0,30.6,1.83
Woody biomass,Pine Chips,11.7,9.71,,,,,Hammer Mill,2.2,6.3,,5.0,56.52,1.12
Woody biomass,Pine Chips,11.7,9.71,,,,,Hammer Mill,2.2,3.1,,5.0,90.0,0.77
Woody biomass,Pine Chips,11.7,,25.4,,,,Hammer Mill,2.2,12.7,,5.0,15.84,2.18
Woody biomass,Pine Chips,11.7,,25.4,,,,Hammer Mill,2.2,10.0,,5.0,19.8,1.83
Woody biomass,Pine Chips,11.7,,25.4,,,,Hammer Mill,2.2,6.3,,5.0,29.52,1.12
Woody biomass,Pine Chips,11.7,,25.4,,,,Hammer Mill,2.2,3.1,,5.0,66.96,0.77
