Model,Target,Configuration,R²,MAE,RMSE
Random Forest,Final Particle Size,Original (All Features),0.9348468067078565,0.061156110186110176,0.0803861300656605
Random Forest,Specific Grinding Energy,Original (All Features),0.43247239000013715,36.80741760501076,54.462170982446175
Random Forest,Final Particle Size,Reduced Features,0.9612674397225421,0.048601688889813886,0.06197997133274033
Random Forest,Specific Grinding Energy,Reduced Features,0.5180412446282749,32.62833133199414,50.18875112852279
Random Forest,Final Particle Size,Imputed Data,0.8772570228690783,0.11962047880927608,0.2017026423921597
Random Forest,Specific Grinding Energy,Imputed Data,0.6270466681492664,98.92020515882423,309.6218271436208
XGBoost,Final Particle Size,Original (All Features),0.4626992003686632,0.13000877519448598,0.2308458182594613
XGBoost,Specific Grinding Energy,Original (All Features),0.5492190417833078,31.52195625305176,48.538263295111186
XGBoost,Final Particle Size,Reduced Features,0.42003397421484423,0.13122764190038042,0.23983609536664705
XGBoost,Specific Grinding Energy,Reduced Features,0.5691741286215574,31.60837682088216,47.45176156599654
XGBoost,Final Particle Size,Imputed Data,0.9194681583679272,0.09357437151552465,0.16337931718067877
XGBoost,Specific Grinding Energy,Imputed Data,0.6255320693984535,96.52119964224615,310.249891892592
ANN,Final Particle Size,Original (All Features),0.008952637479186398,0.23026675363381702,0.3135165513919199
ANN,Specific Grinding Energy,Original (All Features),0.47971875490249405,33.366217295328774,52.145944420209645
ANN,Final Particle Size,Reduced Features,-0.020332500953297528,0.24618301769097642,0.3181149859656685
ANN,Specific Grinding Energy,Reduced Features,0.3981107580506673,38.43975494384765,56.08668120276164
ANN,Final Particle Size,Imputed Data,0.8000327684131009,0.1564555308495821,0.2574498708604686
ANN,Specific Grinding Energy,Imputed Data,0.4999210844609967,158.97588775930285,358.52842686319514
